name, artist, genre
Yikes,Nicki Minaj,Hip-Hop
Boys Ain't Shit (feat. Flo Milli),SAYGRACE,Hip-Hop
Do It,Chloe x Halle,Hip-Hop
Like That (feat. Gucci Mane),Doja Cat,Hip-Hop
I Like Him,Princess Nokia,Hip-Hop
Pretty Bitch Freestyle,Saweetie,Hip-Hop
Buss It,Erica Banks,Hip-Hop
Captain Hook,Megan Thee Stallion,Hip-Hop
Levi High (feat. DaBaby),DaniLeigh,Hip-Hop
Come Outside,City Girls,Hip-Hop
Like That Bitch,Flo Milli,Hip-Hop
Discounts,cupcakKe,Hip-Hop
Sidewalk,Jucee Froot,Hip-Hop
Pretty MF,Rubi Rose,Hip-Hop
Say So (feat. Nicki Minaj),Doja Cat,Hip-Hop
IPHONE,Rico Nasty,Hip-Hop
London,Kaash Paige,Hip-Hop
My Power - From "Project Power",CHIKA,Hip-Hop
Rotation - Game Mix,Stunna Girl,Hip-Hop
Pretty and Ratchet,Sukihana,Hip-Hop
He In His Feelings,Rubi Rose,Hip-Hop
BLACK PARADE,Beyoncé,Hip-Hop
Pass It (feat. G-Eazy),MK xyz,Hip-Hop
Spend Sum Cash,LightSkinKeisha,Hip-Hop
Bitch Do It,Renni Rucci,Hip-Hop
COVER GIRL,BIA,Hip-Hop
Summer 2020,Jhené Aiko,Hip-Hop
Slide (with Gunna),Coi Leray,Hip-Hop
Mulholland Drive (feat. Ebenezer),MORGAN,Hip-Hop
Pack Lite,Queen Naija,Hip-Hop
Cool Off,Missy Elliott,Hip-Hop
A Letter To The Streets,Sally Sossa,Hip-Hop
See Me,Tokyo Jetz,Hip-Hop
Thirsty (feat. Mulatto),Good Girl,Hip-Hop
My Affection (with PARTYNEXTDOOR),Summer Walker,Hip-Hop
BIG (feat. Rubi Rose),Day Sulan,Hip-Hop
Muthaleficent,BbyMutha,Hip-Hop
The Plan - From the Motion Picture "TENET",Travis Scott,Hip-Hop
Slizzy Sity,B.o.B,Hip-Hop
SMOKE,Just Juice,Hip-Hop
Really Counts,Snow Tha Product,Hip-Hop
Lemonade,Internet Money,Hip-Hop
Aw Aw,Russ,Hip-Hop
Over The Top,Lecrae,Hip-Hop
Money Dance,Duckwrth,Hip-Hop
CUT EM IN (feat. Rick Ross),Anderson .Paak,Hip-Hop
Laugh Now Cry Later (feat. Lil Durk),Drake,Hip-Hop
ICE,Courtney Bell,Hip-Hop
Color Me,Uno Hype,Hip-Hop
Get It And Go (feat. Blakk Soul),Lute,Hip-Hop
Kick It (feat. Jace),Childish Major,Hip-Hop
Pull Up (feat. 21 Savage),Mulatto,Hip-Hop
Crocodile Tears,Cousin Stizz,Hip-Hop
KICKOFF,Big K.R.I.T.,Hip-Hop
Rainbow Bap,Jaden,Hip-Hop
Tip Toe,Sheff G,Hip-Hop
IPHONE,Rico Nasty,Hip-Hop
Powered Up,EARTHGANG,Hip-Hop
I NEED YOU TO (BREONNA TAYLOR),Tobe Nwigwe,Hip-Hop
Legends (feat. Benny The Butcher),Don Q,Hip-Hop
Cereal (feat. Kenny Mason),IDK,Hip-Hop
Woodlawn,Aminé,Hip-Hop
Palm Trees,Nasty C,Hip-Hop
Oh Yea,Metro Marrs,Hip-Hop
GP4,Logic,Hip-Hop
In My Ways,Desiigner,Hip-Hop
Zoom,Leikeli47,Hip-Hop
Rari (feat. Future),Octavian,Hip-Hop
Do Better,Coi Leray,Hip-Hop
Yacht Club (feat. Young Thug & Ty Dolla $ign),Strick,Hip-Hop
Let Me Know,Andy Mineo,Hip-Hop
Stick,Rockstar Jt,Hip-Hop
Cafeteria (feat. Gunna),CHASE B,Hip-Hop
Cuss You Out - Remix,Reo Cragun,Hip-Hop
Trinity (5g20),A$AP Twelvyy,Hip-Hop
Perfect,Logic,Hip-Hop
Burn The Hoods,Ski Mask The Slump God,Hip-Hop
Lightbeam (feat. NoCap),Lil Skies,Hip-Hop
Lion King On Ice,J. Cole,Hip-Hop
GREECE (feat. Drake),DJ Khaled,Hip-Hop
Straight Out The Lot,Nebu Kiniza,Hip-Hop
No Home For The Brave,Guapdad 4000,Hip-Hop
Money Now (feat. Tyga & Johnny Yukon),KYLE,Hip-Hop
Home Team (feat. Dreebo),Dame D.O.L.L.A,Hip-Hop
FLEX,BMW KENNY,Hip-Hop
Right Back (feat. Kaye Fox),KAS,Hip-Hop
Penthouse at The W,Rexx Life Raj,Hip-Hop
Attitude (feat. Young Nudy),Deante' Hitchcock,Hip-Hop
Pots and Pans (feat. The Cool Kids & Shorty K),Boldy James,Hip-Hop
Life,Lute,Hip-Hop
On My Shit (Freestyle),Snow Tha Product,Hip-Hop
Wash Us In The Blood,Kanye West,Hip-Hop
Give Up,Russ,Hip-Hop
Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,Hip-Hop
Compensating (feat. Young Thug),Aminé,Hip-Hop
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,Hip-Hop
Deep End,Lecrae,Hip-Hop
END OF DISCUSSION (feat. PnB Rock),IDK,Hip-Hop
Back At It (feat. Lil Baby),Lil Mosey,Hip-Hop
THE GET BACK (RIOT),Kemba,Hip-Hop
What A Day,Chaz French,Hip-Hop
Made For It,Casey Veggies,Hip-Hop
Don Dada,Yungeen Ace,Hip-Hop
Stimulus Check,Rexx Life Raj,Hip-Hop
Pleasantville,Jozzy,Hip-Hop
Reality Check,Swae Lee,Hip-Hop
Did I Fail?,Khary,Hip-Hop
Snow On Tha Bluff,J. Cole,Hip-Hop
ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby,Hip-Hop
Let Go,D Smoke,Hip-Hop
Black 2,Buddy,Hip-Hop
Gang On The Map,Smoke Dawg,Hip-Hop
Lil Scammer That Could (feat. Denzel Curry),Guapdad 4000,Hip-Hop
GOAT Spirit (feat. Raphael Saadiq),Dame D.O.L.L.A,Hip-Hop
Zeus,Wesson Desir,Hip-Hop
Give & Go,Erick Lottary,Hip-Hop
B.Q.E,Kota the Friend,Hip-Hop
Pretty Girls,iann dior,Hip-Hop
Studio,ScHoolboy Q,Hip-Hop
